Address,Count,Last executed,API Name (if instruction begins it)
7739e5bd,1,8141,
7739e5bf,1,8142,
7739e5c3,1,8143,
7739e5c6,1,8144,
7739e5c9,1,8145,
7739e5cd,1,8146,
7739e5cf,1,8147,
7739e5d3,1,8148,
7739e5d7,1,8149,
7739e5db,1,8150,
7739e5dd,1,8151,
7739e6d6,1,222806,
7739e6db,1,222807,
7739e6dd,1,222808,
7739e6e1,1,222809,
7739e6e2,1,222810,
7739e6e7,1,223368,
7739e6e9,1,223369,
7739e6ea,1,223370,
7739e6eb,1,223371,
7739e6ec,1,223372,
7739e6ee,1,223373,
7739e6ef,1,223374,
773fbd0f,1,223375,
773fbd15,1,223376,
773fbd17,1,223377,
773fbd1d,1,223378,
773b83c2,1,223379,
773b83c4,1,223380,
773b83c5,1,223381,
773b83c7,1,223382,
773b83ca,1,223383,
773b83d0,1,223384,
773b83d5,1,223385,
773b83d7,1,223386,
773b83de,1,223387,
773b83df,1,223388,
773b83e1,1,223389,
773b83e2,1,223390,
773b83e3,1,223391,
773b83e7,1,223392,
773b83eb,1,223393,
773b83f1,1,223394,
773b83f7,1,223395,
773b83fb,1,223396,
773b83fc,1,223397,
773b8402,1,223398,
773b8403,1,223399,
773b8404,1,223400,
773b8407,1,223401,
773b8409,1,223402,
773b840a,1,223403,
773b840b,1,223404,
773b8410,1,223474,
773b8414,1,223475,
773b8416,1,223476,
773b8417,1,223477,
773b841b,1,223478,
773b841e,1,223479,
773b85ac,1,223480,
773b85af,1,223481,
773b8424,1,223482,
773b8429,1,223483,
773b842a,1,223484,
773b842e,1,223485,
773b842f,1,223486,
773b8434,1,223493,
773b8436,1,223494,
773b8437,1,223495,
773b8439,1,223496,
773b843f,1,223497,
773b8444,1,223498,
773b8449,1,223499,
773b844d,1,223500,
773b8451,1,223501,
773b8452,1,223502,
773b8456,1,223503,
773b845b,1,223510,
773b845d,1,223511,
773b8463,1,223512,
773b8468,1,223513,
773b846a,1,223514,
773b846e,1,223515,
773b846f,1,223516,
773b8474,1,223523,
773b8479,1,223524,
773b847b,1,223525,
773b847d,1,223526,
773b8481,1,223527,
773b8482,1,223528,
773b8484,1,223529,
773b848b,1,223530,
773b848c,1,223531,
773b848e,1,223532,
773b848f,1,223533,
773b8493,1,223534,
773b8498,1,223541,
773b849a,1,223542,
773b84a0,1,223543,
773b84a4,1,223544,
773b84a9,1,223551,
773b84ad,1,223552,
773b84b3,1,223553,
773b84b7,1,223554,
773b84b8,1,223555,
773a38d0,1,223556,RtlFormatCurrentUserKeyPath
773a38d2,1,223557,
773a38d3,1,223558,
773a38d5,1,223559,
773a38d8,1,223560,
773a38dd,1,223561,
773a38df,1,223562,
773a38e2,1,223563,
773a38e3,1,223564,
773a38e6,1,223565,
773a38e9,1,223566,
773a38ea,1,223567,
773a38ec,1,223568,
773a38ef,1,223569,
773a38f0,1,223570,
773a38f2,1,223571,
773a38f4,1,223572,
773c2c60,1,223573,NtQueryInformationToken
773c2c65,1,223574,
773c2c6a,1,223575,
773c2c6c,1,223578,
773a38f9,1,223579,
773a38fb,1,223580,
773a3901,1,223581,
773a3902,1,223582,
773a3905,1,223583,
773a3906,1,223584,
773a390b,1,223634,
773a390d,1,223635,
773a3913,1,223636,
773a3917,1,223637,
773a391d,1,223638,
773a3921,1,223639,
773a3927,1,223640,
773a392c,1,223641,
773a392f,1,223642,
773a3931,1,223643,
773a3934,1,223644,
773a3937,1,223645,
773a393a,1,223646,
773a393b,1,223647,
773a393e,1,223648,
773a3941,1,223649,
773a3944,1,223650,
773a3947,1,223651,
773a394a,1,223652,
773a394e,1,223653,
773a3951,1,223654,
773a3952,1,223655,
773a3957,1,224569,
773a3959,1,224570,
773a395c,1,224571,
773a395e,1,224572,
773a3964,1,224573,
773a3967,1,224574,
773a396b,1,224575,
773a396d,1,224576,
773a396f,1,224577,
773a3972,1,224578,
773a3974,1,224579,
773a3976,1,224580,
773a3978,1,224581,
773a397a,1,224582,
773a397f,1,224583,
773a3982,1,224584,
773a3983,1,224585,
773a3988,1,224632,
773a398c,1,224633,
773a398f,1,224634,
773a3992,1,224635,
773a3996,1,224636,
773a3997,1,224637,
773a399a,1,224638,
773a399c,1,224639,
773a399e,1,224640,
773a39a0,1,224641,
773a39a4,1,224642,
773a39a7,1,224643,
773a39aa,1,224644,
773a39ae,1,224645,
773a39b0,1,224646,
773a39b4,1,224647,
773a39b7,1,224648,
773a39ba,1,224649,
773a39bc,1,224650,
773a39be,1,224651,
773a39c1,1,224652,
773a39c4,1,224653,
773a39c7,1,224654,
773a39ca,1,224655,
773a39cb,1,224656,
773a3a00,1,224657,RtlConvertSidToUnicodeString
773a3a02,1,224658,
773a3a03,1,224659,
773a3a05,1,224660,
773a3a0b,1,224661,
773a3a10,1,224662,
773a3a12,1,224663,
773a3a15,1,224664,
773a3a18,1,224665,
773a3a19,1,224666,
773a3a1c,1,224667,
773a3a1d,1,224668,
773a3a23,1,224669,
773a3a28,1,224719,
773a3a2a,1,224720,
773a3a30,1,224721,
773a3a32,1,224722,
773a3a38,1,224723,
773a3a39,1,224724,
773a3a3e,1,224725,
773a3a44,1,224726,
773a3a49,1,224727,
773a3a4a,1,224728,
773d0660,1,224729,wcscpy_s
773d0662,1,224730,
773d0663,1,224731,
773d0665,1,224732,
773d0666,1,224733,
773d0669,1,224734,
773d066a,1,224735,
773d066c,1,224736,
773d066e,1,224737,
773d0671,1,224738,
773d0673,1,224739,
773d0675,1,224740,
773d0678,1,224741,
773d067a,1,224742,
773d0680,1,224743,
773d0682,1,224744,
773d0698,1,224778,
773d069a,1,224779,
773d06b7,1,224780,
773d06b9,1,224781,
773d06cd,1,224782,
773d06ce,1,224783,
773d06cf,1,224784,
773d06d0,1,224785,
773a3a4f,1,224786,
773a3a52,1,224787,
773a3a58,1,224788,
773a3a5c,1,224789,
773a3a62,1,224790,
773a3a66,1,224791,
773a3a6c,1,224792,
773a3a70,1,224793,
773a3a75,1,224794,
773a3a79,1,224795,
773a3a7c,1,224796,
773a3a7e,1,224797,
773a3a82,1,224798,
773a3a85,1,224799,
773a3a87,1,224800,
773a3a8b,1,224801,
773a3a8e,1,224802,
773a3a90,1,224803,
773a3a92,1,224804,
773a3a93,1,224805,
773a3a98,1,224806,
773a3a9d,1,224927,
773a3a9f,1,224928,
773a3aa5,1,224929,
773a3aa6,1,224930,
773a3aa8,1,224931,
773a3aab,1,224932,
773a3aad,1,224933,
773a3b10,1,226498,
773a3b14,1,226499,
773a3b1a,1,226500,
773a3b1d,1,226501,
773a3b1f,1,226502,
773a3b31,1,226529,
773a3b37,1,226530,
773a3b3d,1,226531,
773a3b3f,1,226532,
773a3b42,1,226533,
773a3b46,1,226534,
773a3b48,1,226535,
773a3b4a,1,226536,
773a3b4c,1,226537,
773a3b4f,1,226538,
773a3b52,1,226539,
773a3b54,1,226540,
773a3b57,1,226541,
773a3b59,1,226542,
773a3b5a,1,226543,
773a3b60,1,226544,
773a3b63,1,226545,
773a3b64,1,226546,
773a3b65,1,226547,
773a3b6a,1,226612,
773a3b6d,1,226613,
773a3b70,1,226614,
773a3b74,1,226615,
773a3b77,1,226616,
773a3b79,1,226617,
773a3b7b,1,226618,
773a3b7d,1,226619,
773a3b7f,1,226620,
773a3b83,1,226621,
773a3b85,1,226622,
773a3b86,1,226623,
773a3b87,1,226624,
773a3b8a,1,226625,
773a3b8c,1,226626,
773a3b8d,1,226627,
773a3b92,1,226631,
773a3b94,1,226632,
773a3b95,1,226633,
773a39d0,1,226634,
773a39d2,1,226635,
773a39d4,1,226636,
773a39d6,1,226637,
773a39da,1,226638,
773a39dd,1,226639,
773a39df,1,226640,
773a39e0,1,226641,
773a39e1,1,226642,
773a39e4,1,226643,
773a39e6,1,226644,
773a39e7,1,226645,
773a39ec,1,226649,
773a39ee,1,226650,
773a39ef,1,226651,
773b84bd,1,226652,
773b84bf,1,226653,
773b84c5,1,226654,
773b84c7,1,226655,
773b84cc,1,226656,
773b84d1,1,226657,
773b84d4,1,226658,
773b84d9,1,226659,
773b84df,1,226660,
773b84e5,1,226661,
773b84e8,1,226662,
773b84ee,1,226663,
773b84f4,1,226664,
773b84f5,1,226665,
773b84f6,1,226666,
773b84fb,1,226667,
773b84fe,1,226668,
773b8503,1,227475,
773b8507,1,227476,
773b8509,1,227477,
773b850b,1,227478,
773b850f,1,227479,
773b8510,1,227480,
773b8514,1,227481,
773b8515,1,227482,
773b851a,1,227587,
773b851c,1,227588,
773b851e,1,227589,
773b8523,1,227590,
773b8527,1,227591,
773b8528,1,227592,
773b852d,1,227949,
773b852f,1,227950,
773b8531,1,227951,
773b8535,1,227952,
773b853d,1,227953,
773b8541,1,227954,
773b8545,1,227955,
773b8546,1,227956,
773b8548,1,227957,
773b854c,1,227958,
773b8550,1,227959,
773b8551,1,227960,
773b8559,1,227961,
773b855d,1,227962,
773b8561,1,227963,
773b8566,1,227970,
773b8568,1,227971,
773b856e,1,227972,
773b8572,1,227973,
773b8578,1,227974,
773b8579,1,227975,
773b857c,1,227976,
773b8581,1,228551,
773b8585,1,228552,
773b8586,1,228553,
773b858b,1,229271,
773b858f,1,229272,
773b8595,1,229273,
773b8597,1,229274,
773b859e,1,229275,
773b859f,1,229276,
773b85a0,1,229277,
773b85a1,1,229278,
773b85a3,1,229279,
773b85a8,1,229283,
773b85aa,1,229284,
773b85ab,1,229285,
773fbd22,1,229286,
773fbd28,1,229287,
773fbd2a,1,229288,
773fbd30,1,229289,
773fbd36,1,229290,
773fbd37,1,229291,
773fbd39,1,229292,
773fbd3e,1,229293,
773b9dcc,1,229294,
773b9dce,1,229295,
773b9dcf,1,229296,
773b9dd1,1,229297,
773b9dd4,1,229298,
773b9dda,1,229299,
773b9ddf,1,229300,
773b9de1,1,229301,
773b9de8,1,229302,
773b9de9,1,229303,
773b9dea,1,229304,
773b9deb,1,229305,
773b9dee,1,229306,
773b9df2,1,229307,
773b9df3,1,229308,
773b9df5,1,229309,
773b9df7,1,229310,
773b9df9,1,229311,
773b9dfe,1,229368,
773b9e00,1,229369,
773b9e08,1,229370,
773b9e0c,1,229371,
773b9e11,1,229372,
773b9e15,1,229373,
773b9e17,1,229374,
773b9e1b,1,229375,
773b9e1d,1,229376,
773b9e22,1,229377,
773b9e26,1,229378,
773b9e2a,1,229379,
773b9e2b,1,229380,
773b9e2d,1,229381,
773b9e2e,1,229382,
773b9e30,1,229383,
7739b190,1,229542,
7739b1a9,1,229567,
7739b1ac,1,229568,
7739b1ba,1,229573,
7739b1c1,1,229574,
7739b1c3,1,229575,
7739b1c5,1,229576,
7739b1c7,1,229577,
7739b1c9,1,229578,
7739b1cb,1,229579,
7739b1ce,1,229580,
7739b1cf,1,229581,
7739b1d1,1,229582,
7739b1d6,1,229583,
7739b1d7,1,229584,
7739b1d9,1,229585,
7739b1de,1,230761,
7739b1e0,1,230762,
7739b1e2,1,230763,
7739b1e8,1,230764,
7739b1ee,1,230765,
7739b1f4,1,230766,
7739b212,1,230774,
7739b215,1,230775,
7739b218,1,230776,
7739b21b,1,230777,
7739b21d,1,230778,
7739b21f,1,230779,
7739b23d,1,230892,
7739b240,1,230893,
7739b243,1,230894,
7739b245,1,230895,
7739b248,1,230896,
7739b24b,1,230897,
7739b24d,1,230898,
7739b24f,1,230899,
7739b252,1,230900,
7739b255,1,230901,
7739b257,1,230902,
7739b25b,1,230903,
7739b25d,1,230904,
7739b263,1,230905,
7739b266,1,230906,
7739b268,1,230907,
7739b26b,1,230908,
7739b26e,1,230909,
7739b26f,1,230910,
7739b272,1,230911,
7739b273,1,230912,
7739b278,1,230955,
7739b27b,1,230956,
7739b27e,1,230957,
7739b281,1,230958,
7739b284,1,230959,
7739b287,1,230960,
7739b289,1,230961,
7739b28b,1,230962,
7739b28f,1,230963,
